-29.6903158,-53.8811403
-29.6872500,-53.8154499
-30.0320680,-51.2208767
-29.6872500,-53.8154499
-29.6872500,-53.8154499
-29.6872500,-53.8154499
0,0
-29.6872500,-53.8154499
-29.6872500,-53.8154499
0,0
0,0
-29.6872500,-53.8154499
-29.6872500,-53.8154499
-29.6872500,-53.8154499
-29.6872500,-53.8154499
-29.6872500,-53.8154499
-29.6872500,-53.8154499
-29.6872500,-53.8154499
-29.6872500,-53.8154499
-29.6872500,-53.8154499
-29.6872500,-53.8154499
-29.6872500,-53.8154499
-29.6872500,-53.8154499
-29.6872500,-53.8154499
-29.6872500,-53.8154499
-29.6872500,-53.8154499
0,0
0,0
-29.6872500,-53.8154499
-29.6872500,-53.8154499
0,0
0,0
-29.6872500,-53.8154499
-23.2237010,-45.9009074
-29.6984894,-53.7158330
-29.6872500,-53.8154499
-29.6872500,-53.8154499
